Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array8_15,6396988.6,614413.7609331679,6163640.637328564,6630336.562671435,12840673.166666666,5.292027546749502,12840671.156809587,12840675.176523745,16988.366666666665,4549.456337361153,15260.530418380957,18716.202914952373,6346.833333333333,859.4159289243416,6020.436092820212,6673.230573846454
array8_16,2709039.6,166586.99328090815,2645771.590783181,2772307.609216819,5403924.066666666,1.0306416555826872,5403923.675239674,5403924.458093659,12770.066666666668,1966.0522023136166,12023.380467420759,13516.752865912576,5632.633333333333,1029.573810963654,5241.611897154323,6023.654769512344
array8_17,2886623.1666666665,434905.5373656126,2721450.5622239243,3051795.7711094087,5403923.9,1.16476034731041,5403923.457636123,5403924.342363878,13151.033333333333,2583.1446402054653,12169.981837738413,14132.084828928253,5648.4,714.3895109345694,5377.082286221519,5919.71771377848
array8_18,1043850.5,238197.55232100238,953385.544490199,1134315.4555098012,1594670.7666666666,1.085766498326822,1594670.3543038317,1594671.1790295015,13409.666666666666,2145.9025969404006,12594.67515617891,14224.658177154422,6007.9,600.7632561999776,5779.736357198108,6236.063642801892
array8_19,340727429.3333333,8747034.703090757,337405396.43439144,344049462.2322752,729475290.5666667,1.542364706834571,729475289.9808927,729475291.1524408,223651.06666666668,62208.18297723289,200025.04511210037,247277.088221233,20049.266666666666,5658.383437775217,17900.271427345746,22198.261905987587
array8_20,616708865.4666667,14250870.951303257,611296532.7452615,622121198.1880718,1350332820.7666667,2.2903177848402514,1350332819.8968277,1350332821.6365056,220886.3,91057.26495495385,186303.69685094256,255468.9031490574,22512.733333333334,11327.441982293365,18210.6885600644,26814.77810660227
array9_1,83504016.43333334,2412560.3656035867,82587751.07286938,84420281.7937973,179141041.6,1.3564659966250536,179141041.0848283,179141042.1151717,54379.76666666667,17583.61895000255,47701.69088245543,61057.84245087791,11278.533333333333,1901.8686728817238,10556.22337170171,12000.843294964956
array9_2,313304.8333333333,54759.71467364387,292507.6626512238,334102.0040154428,128593.66666666667,1.043498389499902,128593.27035682024,128594.0629765131,12233.066666666668,1296.1323474947387,11740.8090678442,12725.324265489135,5933.433333333333,906.5031231177431,5589.1528656993605,6277.713800967306
array9_3,6776960.0,835564.3068797279,6459621.357722157,7094298.642277843,12577444.333333334,0.9428090415820636,12577443.975264255,12577444.691402413,18299.2,4675.803042615604,16523.378585795163,20075.02141420484,6565.033333333334,794.3776802559908,6263.336943920012,6866.729722746655
array9_4,396428.6,89526.23842449766,362427.4648199139,430429.73518008605,250720.7,0.9,250720.35818935098,250721.04181064904,12563.366666666667,1228.539226977398,12096.780232727244,13029.95310060609,5948.3,1012.1304971856807,5563.903353158628,6332.696646841372
